display_name,pdl_name,type
"Temecula, California","temecula, california, united states",city
"Jacksonville, North Carolina","jacksonville, north carolina, united states",city
"San Buenaventura, California","san buenaventura, california, united states",city
"Sugar Land, Texas","sugar land, texas, united states",city
"Chico, California","chico, california, united states",city
"South Fulton, Georgia","south fulton, georgia, united states",city
"Sparks, Nevada","sparks, nevada, united states",city
"Eau Claire, Wisconsin","eau claire, wisconsin, united states",city
"Auburn, Alabama","auburn, alabama, united states",city
"Dearborn, Michigan","dearborn, michigan, united states",city
"Riverview, Florida","riverview, florida, united states",city
"Allen, Texas","allen, texas, united states",city
"West Covina, California","west covina, california, united states",city
"Centennial, Colorado","centennial, colorado, united states",city
"Bloomington, Indiana","bloomington, indiana, united states",city
"Sandy Springs, Georgia","sandy springs, georgia, united states",city
"El Monte, California","el monte, california, united states",city
"Hillsboro, Oregon","hillsboro, oregon, united states",city
"Menifee, California","menifee, california, united states",city
"Rio Rancho, New Mexico","rio rancho, new mexico, united states",city
"Davie, Florida","davie, florida, united states",city
"Jurupa Valley, California","jurupa valley, california, united states",city
"Columbia, Maryland","columbia, maryland, united states",city
"Inglewood, California","inglewood, california, united states",city
"Spokane Valley, Washington","spokane valley, washington, united states",city
"Renton, Washington","renton, washington, united states",city
"San Tan Valley, Arizona","san tan valley, arizona, united states",city
"Burbank, California","burbank, california, united states",city
"Brockton, Massachusetts","brockton, massachusetts, united states",city
"El Cajon, California","el cajon, california, united states",city
"Rialto, California","rialto, california, united states",city
"San Mateo, California","san mateo, california, united states",city
"Goodyear, Arizona","goodyear, arizona, united states",city
"Charlottesville, Virginia","charlottesville, virginia, united states",city
"Lafayette, Colorado","lafayette, colorado, united states",city
"Lee's Summit, Missouri","lee's summit, missouri, united states",city
"Edinburg, Texas","edinburg, texas, united states",city
"Daly City, California","daly city, california, united states",city
"Wichita Falls, Texas","wichita falls, texas, united states",city
"Bowling Green, Kentucky","bowling green, kentucky, united states",city
"Longmont, Colorado","longmont, colorado, united states",city
"Vacaville, California","vacaville, california, united states",city
"Highlands Ranch, Colorado","highlands ranch, colorado, united states",city
"Quincy, Massachusetts","quincy, massachusetts, united states",city
"Fishers, Indiana","fishers, indiana, united states",city
"Lynn, Massachusetts","lynn, massachusetts, united states",city
"Norwalk, California","norwalk, california, united states",city
"Carmel, Indiana","carmel, indiana, united states",city
"Hesperia, California","hesperia, california, united states",city
"St. Augustine, Florida","st. augustine, florida, united states",city
"Buckeye, Arizona","buckeye, arizona, united states",city
"San Angelo, Texas","san angelo, texas, united states",city
"Federal Way, Washington","federal way, washington, united states",city
"Bismarck, North Dakota","bismarck, north dakota, united states",city
"Boca Raton, Florida","boca raton, florida, united states",city
"New Braunfels, Texas","new braunfels, texas, united states",city
"Vista, California","vista, california, united states",city
"Beaverton, Oregon","beaverton, oregon, united states",city
"Portsmouth, Virginia","portsmouth, virginia, united states",city
"Orem, Utah","orem, utah, united states",city
"Conroe, Texas","conroe, texas, united states",city
"Suffolk, Virginia","suffolk, virginia, united states",city
"Sunrise, Florida","sunrise, florida, united states",city
"Lawrence, Kansas","lawrence, kansas, united states",city
"Arden-Arcade, California","arden-arcade, california, united states",city
"Prescott Valley, Arizona","prescott valley, arizona, united states",city
"Middletown, Ohio","middletown, ohio, united states",city
"San Germán, Puerto Rico","san germán, puerto rico, puerto rico",city
"Edmond, Oklahoma","edmond, oklahoma, united states",city
"Tracy, California","tracy, california, united states",city
"Manteca, California","manteca, california, united states",city
"Kingsport, Tennessee","kingsport, tennessee, united states",city
"Portsmouth, New Hampshire","portsmouth, new hampshire, united states",city
"Sandy, Utah","sandy, utah, united states",city
"Palm Coast, Florida","palm coast, florida, united states",city
"Slidell, Louisiana","slidell, louisiana, united states",city
"San Marcos, California","san marcos, california, united states",city
"Livonia, Michigan","livonia, michigan, united states",city
"Santa Fe, New Mexico","santa fe, new mexico, united states",city
"Plantation, Florida","plantation, florida, united states",city
"Atascocita, Texas","atascocita, texas, united states",city
"Fall River, Massachusetts","fall river, massachusetts, united states",city
"Compton, California","compton, california, united states",city
"Carson, California","carson, california, united states",city
"La Crosse, Wisconsin","la crosse, wisconsin, united states",city
"Missoula, Montana","missoula, montana, united states",city
"O'Fallon, Missouri","o'fallon, missouri, united states",city
"Mount Pleasant, South Carolina","mount pleasant, south carolina, united states",city
"Roswell, Georgia","roswell, georgia, united states",city
"Hoover, Alabama","hoover, alabama, united states",city
"Florence, South Carolina","florence, south carolina, united states",city
"Williamsburg, Virginia","williamsburg, virginia, united states",city
"South Gate, California","south gate, california, united states",city
"Chino, California","chino, california, united states",city
"Fort Myers, Florida","fort myers, florida, united states",city
"Kirkland, Washington","kirkland, washington, united states",city
"Santa Monica, California","santa monica, california, united states",city
"Vineland, New Jersey","vineland, new jersey, united states",city
"Norwalk, Connecticut","norwalk, connecticut, united states",city
"Alafaya, Florida","alafaya, florida, united states",city
"Lawton, Oklahoma","lawton, oklahoma, united states",city
"Avondale, Arizona","avondale, arizona, united states",city
"Germantown, Maryland","germantown, maryland, united states",city
